,Text,Annotation,Show
674,What happened to Cassandra?,neutral,Frasier
675,and his three-legged cat.,neutral,Frasier
676,What do you think you're doing  telling him I'm a good softball player?,neutral,Frasier
677,and brute strength.,neutral,Frasier
678,Would it be all rightif I took a cool bath?,neutral,Frasier
679,If elected   I plan to havevertical tastings,neutral,Frasier
680,I'm sorry to barge in so early.I had to get out of the Montana.,neutral,Frasier
681,- Will Dr Crane be joining us soon?- Oh   yes   I believe so.,neutral,Frasier
682,KACL Psychographics?,neutral,Frasier
683,Now I've discoveredanother young man,neutral,Frasier
684,with an exercisethat might help.,neutral,Frasier
685,I had a really cool time with you.,neutral,Frasier
686,from her wedding.,neutral,Frasier
687,Dad   this is very difficult to say.,neutral,Frasier
688,It is.,neutral,Frasier
689,- No.- Are you insane?,neutral,Frasier
690,BOTH:Aw!,neutral,Frasier
691,- Clea Fenwick?- Yes   you remember her.,neutral,Frasier
692,Where is that suggestion box?,neutral,Frasier
693,Oh   thanks   Niles  you've been a support.,neutral,Frasier
694,My first Halloween in America,neutral,Frasier
695,What a relief this is.I've made my choice.,neutral,Frasier
696,Oh   come on   Roz.I got no choice.,neutral,Frasier
697,of laughing at himself.,neutral,Frasier
698,- Roz   before you go   there's...- Oh   I know.,neutral,Frasier
699,- I'm messing up too.- I've got it   Dad. Here.,neutral,Frasier
700,Brad Macnamara!,neutral,Frasier
701,After what I've just done   you think I'mgonna let a couple dogs frighten me?,neutral,Frasier
702,Hello.,neutral,Frasier
703,From your beautiful toes  all the way up to your crusty nose,neutral,Frasier
704,They share a lot of interests.She even owns a bookstore.,neutral,Frasier
705,Oh   you were just messing with me.Good one   Fras.,neutral,Frasier
706,Why does he keep updating his bio?What's changed in the last few years?,neutral,Frasier
707,You never know when you'll croak.,neutral,Frasier
708,CHET: Hello   Dr Crane.This is Chet from Whidbey Island.,neutral,Frasier
709,Well   thank you   Mr. Crane.,neutral,Frasier
710,I'm not the warmest guy in the world,neutral,Frasier
711,My plan backfired.,neutral,Frasier
712,in the hopes that our relationshipmay flower.,neutral,Frasier
713,If I were to make a joke about him  which I wouldn't,neutral,Frasier
714,Yes   sir   he is   uh  intimately acquainted with Lady Law.,neutral,Frasier
715,Only you're notthe Bryce Crier anymore.,neutral,Frasier
716,...getting yourChristmas present.,neutral,Frasier
717,I know what you're saying  but I'm not too young for this.,neutral,Frasier
718,- He's not from the station?- I never saw him before.,neutral,Frasier
719,Okay   I'm ready.,neutral,Frasier
720,I specificallyasked you not to tell anyone.,neutral,Frasier
721,You show up late every day,neutral,Frasier
722,because he could spot a setupa mile away.,neutral,Frasier
723,This is a private cluband a men's locker room. Get out.,neutral,Frasier
724,I would rather give you a lung.,neutral,Frasier
725,You know   Marty  I think we'd better go.,neutral,Frasier
726,Gosh   so am I.,neutral,Frasier
727,- Was I?- Yeah.,neutral,Frasier
728,Hi. Gee   I didn't knowyou were back in town.,neutral,Frasier
729,So   uh   you saythis was Frasier's idea?,neutral,Frasier
730,- Of the book?- No   of my typing.,neutral,Frasier
731,Alice   go pick out some p.j.'s.,neutral,Frasier
732,Frasier?,neutral,Frasier
733,Oh   I'm pretty used to him by now.,neutral,Frasier
734,Woody.,neutral,Frasier
735,MEL:Attention   everyone.,neutral,Frasier
736,Well?Opera queen.,neutral,Frasier
737,Oh   all right  what's this one about?,neutral,Frasier
738,He's... He's abroad now.,neutral,Frasier
739,to get away from her  and there were,neutral,Frasier
740,I lost your number   but if call in  I got an answer for you.,neutral,Frasier
741,Yes   did you really think youcould deceive us sitting there,neutral,Frasier
742,- Did you find something?- Do you think they'll take soy sauce packets?,neutral,Frasier
743,- Morning.- Say   Dad,neutral,Frasier
744,No   it's disgusting  you dirty old man.,neutral,Frasier
745,It always ends upreeking of insincerity.,neutral,Frasier
746,- Oh   really? I don't have that marked.- Yes   I'm taking a date.,neutral,Frasier
747,A natural beauty like Roz?,neutral,Frasier
748,but my job is to suspect everyone.Please introduce me to your guests.,neutral,Frasier
749,Yes.,neutral,Frasier
750,- Frasier   would you excuse us?- Of course.,neutral,Frasier
751,Our wine club is havinga vertical tasting of the Opus One.,neutral,Frasier
752,Oh   don't worry  the name's a bit misleading.,neutral,Frasier
753,Well   you know  I'd like to think so.,neutral,Frasier
754,Ready for the movie.Mind helping me turn out the lights?,neutral,Frasier
755,Don't look at me that way.That's what they call it.,neutral,Frasier
756,What are we doing?Oh!,neutral,Frasier
757,Yeah   I gave it a shot.That's what counts.,neutral,Frasier
758,Isn't Stephen thefavorite brother?,neutral,Frasier
759,and I had my daughterdig through the attic,neutral,Frasier
760,Not her.,neutral,Frasier
761,All right. I thought if you were biddingagainst a stranger   you'd go so high,neutral,Frasier
762,You have to be ableto size up your patients quickly,neutral,Frasier
763,It's all so overwhelming.,neutral,Frasier
764,He doesn't?No   he was on,neutral,Frasier
765,These papersall check out   sir. Well,neutral,Frasier
766,The mosquito fell rightout of the air dead.,neutral,Frasier
767,Well   gosh   I would hateto appear standoffish.,neutral,Frasier
768,There's nothing like makeup sex.,sexist,Frasier
769,But I already backed down.,neutral,Frasier
770,Look   I wish I could   Jen.,neutral,Frasier
771,Dr Crane  I've been meaning to ask you,neutral,Frasier
772,Shut up! Shut up!,neutral,Frasier
773,Daphne Moon's Seattle.,neutral,Frasier
774,So   what do you have in storefor Frederick this visit?,neutral,Frasier
775,Recycling is your deal,neutral,Frasier
776,With all the dishesand the laundry... ah!,neutral,Frasier
777,you'll know why.,neutral,Frasier
778,Ben just wonthis year's Seattle Samaritan Award.,neutral,Frasier
779,She can push her breasts up to Canada.I won't budge.,sexist,Frasier
780,No   no. I just needto sit for a minute.,neutral,Frasier
781,Don't believe me?,neutral,Frasier
782,This entire affair has grownout of control. I need to end it.,neutral,Frasier
783,than confidence.Shall we?,neutral,Frasier
784,you can thoroughly enjoyyour reunion.,neutral,Frasier
785,Well   I'm off to bed.,neutral,Frasier
786,that I'd lovefor you to sample.,neutral,Frasier
787,Fine   smarty pants.You play Steve then.,neutral,Frasier
788,I'm going to missthese tranquil mornings.,neutral,Frasier
789,it's getting late   Emily.,neutral,Frasier
790,- What?- We just noticed:,neutral,Frasier
791,Call me in a few days  let me know how he's doing.,neutral,Frasier
792,We've be starting to thinkour Daphne,neutral,Frasier
793,is one of the first tasks I learnedat my father's knee.,neutral,Frasier
794,I thought I was gettinga break from it all.,neutral,Frasier
795,Did it break?,neutral,Frasier
796,So what was it?,neutral,Frasier
797,lining the pocketsof four blood-sucking,neutral,Frasier
798,Hmm. Well   you know  why don't you ask someone here?,neutral,Frasier
799,when frankly  what they need,neutral,Frasier
800,I don't want to get caughtempty-handed,neutral,Frasier
801,what you were going to ask  isn't it?,neutral,Frasier
802,by withholding sex.,sexist,Frasier
803,Oh   my God   he's picking her up.I gotta go. This has been fun.,neutral,Frasier
804,Oh   now I hear it. Oh...,neutral,Frasier
805,Hey...,neutral,Frasier
806,So gullible.,neutral,Frasier
807,In short,neutral,Frasier
808,So...,neutral,Frasier
809,Six different rolesin six different accents?,neutral,Frasier
810,No. I mean I'll be going backto England soon.,neutral,Frasier
811,"a radio personality receives the HaroldHirschauer ""Man of the Year"" award",neutral,Frasier
812,No   I'm just here witha friend of mine   Roz.,neutral,Frasier
813,if somebody would let megrow tomatoes on the terrace.,neutral,Frasier
814,that we brought  all right?,neutral,Frasier
815,I wish I could stay,neutral,Frasier
816,Yes. Mel and I eloped yesterday.,neutral,Frasier
817,- That. That's a cricket.- How'd that get in here?,neutral,Frasier
818,as long as your father'sso strong and healthy.,neutral,Frasier
819,Yes. Therefore   a human being,neutral,Frasier
820,Really?,neutral,Frasier
821,Oh   not that long.,neutral,Frasier
822,Rice. Beans.,neutral,Frasier
823,Here   boy.,neutral,Frasier
824,Yes   I'm very proud of that.,neutral,Frasier
825,Niles.,neutral,Frasier
826,Well   how could we figure it out?,neutral,Frasier
827,Roz told me all about it.It's no big deal.,neutral,Frasier
828,It's with you.,neutral,Frasier
829,Yes   it looks nice from the outside.It's completely unsuitable for living.,neutral,Frasier
830,in order to attractthe female cricket?,neutral,Frasier
831,Niles   I'm sure that Daphne doesn'twant us horning in on her reunion.,neutral,Frasier
832,- You haven't told her yet?- No.,neutral,Frasier
833,then I'm sureyou'd agree with me.,neutral,Frasier
834,Something wrong?,neutral,Frasier
835,How many of you,neutral,Frasier
836,Soon we'll have a vastand viable audience.,neutral,Frasier
837,- Morning   all.- There you are.,neutral,Frasier
838,I am genuinely sorry.,neutral,Frasier
839,It was like a fairy tale.,neutral,Frasier
840,So   Roz   Nancy and Iare having coffee.,neutral,Frasier
841,No boy ever forgets the first timehe learns that his dad isn't perfect.,neutral,Frasier
842,Thank you.,neutral,Frasier
843,Now get out.,neutral,Frasier
844,Daphne   get mea cup of tea.,neutral,Frasier
845,- We've got five minutes.- Excuse me.,neutral,Frasier
846,All right.Thank you.,neutral,Frasier
847,I have another meetingand I don't like to keep people waiting.,neutral,Frasier
848,Yes. I drive a Mercedes,neutral,Frasier
849,Because someone forgot to get Halloween candy.,neutral,Frasier
850,Do you mind if wecontinue this conversation later?,neutral,Frasier
851,being given for me by my own fatherjust to come here.,neutral,Frasier
852,Nice counseling job.He's been throwing up bricks all night.,neutral,Frasier
853,I should think positively.,neutral,Frasier
854,I'm sure I can persuade themwith my charm and eloquence.,neutral,Frasier
855,♪ Hey   baby   I hear the bluesa'callin' ♪,neutral,Frasier
856,when you mentionedFrederick's National Science Award?,neutral,Frasier
857,Now   let's justchill this beer,neutral,Frasier
858,had she found this engagement ringin my room?,neutral,Frasier
859,Well   if you shouldneed any help,neutral,Frasier
860,Thank you.,neutral,Frasier
861,but... as a friend   that's all.,neutral,Frasier
862,Daphne   is there something wrongwith this coffee pot?,neutral,Frasier
863,Batting her eyes   then coyly hidingbehind her breadstick.,neutral,Frasier
864,Everything's fine.,neutral,Frasier
865,I promised my grandmother I'd leaveher a message telling her how we did.,neutral,Frasier
866,Actually   he's gone offwith Donny.,neutral,Frasier
867,Damn. Wouldn't you know it?,neutral,Frasier
868,So please   tell us  why do you want to kill yourself?,neutral,Frasier
869,- You invited her and didn't tell me?- I thought it would be a nice surprise.,neutral,Frasier
870,I got him a brand-new  rubber eeseburger-chay.,neutral,Frasier
871,Oh.,neutral,Frasier
872,I wonder if you can still getsticky shingles here.,neutral,Frasier
873,This is a receipt for the binoculars.This should prove,neutral,Frasier
874,We had to walk two miles to get here.,neutral,Frasier
875,- So   Dad--- Hold it   Niles.,neutral,Frasier
876,Well   I'm not a whore.I'm a flight attendant.,sexist,Frasier
877,Ms. Langer is simply retaliatingagainst me.,neutral,Frasier
878,- it sounds like medical advice.- OK. Now   totally get it.,neutral,Frasier
879,I know an after-after-hours place.,neutral,Frasier
880,No   you know  I was thinking of it,neutral,Frasier
881,- That's my cell phone.- Shall I?,neutral,Frasier
882,Not that she would've even noticed,neutral,Frasier
883,Perhaps take in a show. Oh   thanks.,neutral,Frasier
884,and curvy orange slices.,neutral,Frasier
885,Uh   we have your face--very handsome--,neutral,Frasier
886,I have done some research.Ah.,neutral,Frasier
887,- What?- You get Frasier   you get that Niles.,neutral,Frasier
888,And you come in hereand lie to me?,neutral,Frasier
889,No   thanks   Dad.I don't really care for pastrami.,neutral,Frasier
890,I don't need health tipsfrom you   you quack!,neutral,Frasier
891,Roz   congratulations again.,neutral,Frasier
892,How could thatorthopedist of yours,neutral,Frasier
893,This restaurant hasa wonderful Roquefort ravioli.,neutral,Frasier
894,- It's a telethon.- Yes   well...,neutral,Frasier
895,Listen   you are a lucky girl to bewith someone as sweet as Frasier.,neutral,Frasier
896,- You need a brew? I'm headed that way.- No   thanks.,neutral,Frasier
897,that's EggsPalermo Fontana.,neutral,Frasier
898,Yes   but it's made fromvery expensive material.,neutral,Frasier
899,You know what?I'll take off my jacket.,neutral,Frasier
900,- Oh.- Hello   Tom.,neutral,Frasier
901,And by the way   dinner is on me.Or rather   the firm.,neutral,Frasier
902,Mother...,neutral,Frasier
903,Would you please call Dadand get him down here?,neutral,Frasier
904,- Maybe it was no one time.- Oh   so it was a lot of times?,neutral,Frasier
905,and whatever meal would beappropriate to this time of day?,neutral,Frasier
906,Sure. Of course  I think you're a rotten Judas,neutral,Frasier
907,I may consider marketingmy little invention.,neutral,Frasier
908,You're break... Up.,neutral,Frasier
909,I had a PowerBar here.,neutral,Frasier
910,I know this doesn't soundlike your cup of tea,neutral,Frasier
911,- Daphne and Donny.- Oh   jeez.,neutral,Frasier
912,Forgive me.,neutral,Frasier
913,What's it going to take for you,neutral,Frasier
914,Well   all right.,neutral,Frasier
915,fishing for compliments  yeah   you look slutty.,sexist,Frasier
916,Well   you know   I'd better get out ofhere before I do any further damage.,neutral,Frasier
917,and impulsive act.,neutral,Frasier
918,It seems as good an explanationas any.,neutral,Frasier
919,She came to your rescue. Who initiatedthe first sexual encounter? She did.,sexist,Frasier
920,There's something elsecrudely carved here.,neutral,Frasier
921,Why don't I just get this peskypriceless sculpture out of your way?,neutral,Frasier
922,Really?,neutral,Frasier
923,Yes   it's quite a little piece of heavenI've carved out for myself.,neutral,Frasier
924,This is sort of fun   isn't it?,neutral,Frasier
925,No. A grown man live with his father?Frasier lives with Dad.,neutral,Frasier
926,So   Niles  you actually,neutral,Frasier
927,Well   I thought you neededa little cheering up.,neutral,Frasier
928,I sort of...,neutral,Frasier
929,Does this weekend have to be about sex?,sexist,Frasier
930,I'm glad you asked methat question.,neutral,Frasier
931,really takes me back.,neutral,Frasier
932,Don't choke.,neutral,Frasier
933,Once  one of Michael's teeth fell out,neutral,Frasier
934,Oh   dear. I think I see wherethis story's headed.,neutral,Frasier
935,Well   fine   I will leave now,neutral,Frasier
936,Well   what's wrong with the 19th?,neutral,Frasier
937,I have ever seen on this earth.,neutral,Frasier
938,You're plugging Clint. I'm havingtrouble believing this buddy-buddy act.,neutral,Frasier
939,it was worth it.,neutral,Frasier
940,Don't you dare gloat  you miserable little biscuit whore.,sexist,Frasier
941,Really?Oh   absolutely.,neutral,Frasier
942,- Yeah.- Then I will.,neutral,Frasier
943,- Aha.- Well done   Frasier.,neutral,Frasier
944,I took the wrong dress.,neutral,Frasier
945,I have some information,neutral,Frasier
946,Well   it's Saturday night.,neutral,Frasier
947,only to be stood up twice?,neutral,Frasier
948,Oh   you don't have to.,neutral,Frasier
949,- Thank you for meeting me like this.- No problem.,neutral,Frasier
950,Can I get you some ginger ale or...,neutral,Frasier
951,Oh   barf.,neutral,Frasier
952,Niles   I thought you and Daphnewere going out tonight.,neutral,Frasier
953,Yes. Sir Trevor Ainsleyin Tears of the Mariner.,neutral,Frasier
954,He's the man who suppliesme with lab rats.,neutral,Frasier
955,you have lain wasteto your apartment with this eyesore.,neutral,Frasier
956,Frasier   I'm desperate.,neutral,Frasier
957,I have done some researchinto the matter,neutral,Frasier
958,It is a little scary.I wish I knew who it was.,neutral,Frasier
959,What is it?,neutral,Frasier
960,Yes. Well   just imaginethe ribbing he took.,neutral,Frasier
961,To ask them to make the rampout front less steep,neutral,Frasier
962,Anyway,neutral,Frasier
963,Now   you   you looklike you'd be a farmer.,neutral,Frasier
964,You're just a slow starter.,neutral,Frasier
965,would you kindly segueto the peppy part?,neutral,Frasier
966,Remember   I'm here for youif you feel yourself starting to weaken.,neutral,Frasier
967,Niles...,neutral,Frasier
968,I can actually hear some guybrushing his teeth.,neutral,Frasier
969,Well   that's okay. Absence justmakes the heart grow fonder.,neutral,Frasier
970,You know   we couldn't keepour hands off each other.,neutral,Frasier
971,Right this way.,neutral,Frasier
972,From the rare   exotic orchids...,neutral,Frasier
973,What an overpaid   worthlesspiece of...,neutral,Frasier
974,Absolutely not. I believepsychiatry's a noble profession,neutral,Frasier
975,Oh   no. It's mama's turn today.I'll be back in a minute.,neutral,Frasier
976,I have an extremely importantjob interview,neutral,Frasier
977,I will write you a speech,neutral,Frasier
978,Hit it.,neutral,Frasier
979,Were you throughwith the powder room?,neutral,Frasier
980,He's organizing some petition,neutral,Frasier
981,- Niles   are you there?- Yes   Dad.,neutral,Frasier
982,If you don't patch things up,neutral,Frasier
983,Oh   there it is.Uh   UCB Industries.,neutral,Frasier
984,Roz   you are rusty.,neutral,Frasier
985,and there's just no privacyaround here.,neutral,Frasier
986,Statue?,neutral,Frasier
987,- Simon.- Know what that is   Daphne?,neutral,Frasier
988,Mr. Rug.,neutral,Frasier
989,- My wife's just... Honey?- It was nice seeing you   too.,neutral,Frasier
990,All these years   I nagged himto make something of himself.,neutral,Frasier
991,Yes   Frasier's fun-loving producer.,neutral,Frasier
992,Doesn't he   though? Yes   the medicationseems to be working wonders.,neutral,Frasier
993,Yes   for my son.My ex-wife is Jewish.,neutral,Frasier
994,Hey   guys   you won't...,neutral,Frasier
995,I can't tell you.,neutral,Frasier
996,may I see you in the kitchen?,neutral,Frasier
997,With my grandfather's third nipple  I might as well pitch a tent,neutral,Frasier
998,This is only heaven,neutral,Frasier
999,No 8-year-oldshould be riding a tricycle.,neutral,Frasier
1000,For God's sakes   it'll be awkwardall through dinner   awkward at work.,neutral,Frasier
1001,Frasier Crane  the automatic sex pilot.,sexist,Frasier
1002,Yes   Maris.,neutral,Frasier
1003,Come on in.,neutral,Frasier
1004,Yes. Nothing likea little honesty,neutral,Frasier
1005,You know   Kenny,neutral,Frasier
1006,Thanks.,neutral,Frasier
1007,♪ Tossed saladsand scrambled eggs ♪,neutral,Frasier
1008,I wouldn't.,neutral,Frasier
1009,You did great   honey.,neutral,Frasier
1010,My gift comes from my heart.,neutral,Frasier
1011,Yes. I'm sorry.,neutral,Frasier
1012,I am   aren't I?,neutral,Frasier
1013,who the hell is that now?,neutral,Frasier
1014,No   no   Dad   I'm fine with this.,neutral,Frasier
1015,Yes   well   English cookingstrikes again.,neutral,Frasier
1016,Nothing to be scared of.,neutral,Frasier
1017,Thank you   Frasier.,neutral,Frasier
1018,Well   what the hell's going on?,neutral,Frasier
1019,Daphne's stillin the conference room.,neutral,Frasier
1020,- Oh   really?- Yes.,neutral,Frasier
1021,- Hi   Dad.FRASIER: Oh   hello   Freddie.,neutral,Frasier
1022,Well   he was leaving anyway,neutral,Frasier
1023,You know   Niles  I've been meaning,neutral,Frasier
1024,Oh. Broken bits of pottery.,neutral,Frasier
1025,- We didn't give your game a chance.- Yeah. Let's give it another shot.,neutral,Frasier
1026,Oh   you like that   do you? All right.,neutral,Frasier
1027,Who knows what you picked upin that flea-trap.,neutral,Frasier
1028,I'm driving assmoothly as I can.,neutral,Frasier
1029,you're only four moves awayfrom certain victory.,neutral,Frasier
1030,- Whose?- Clint's. I just heard him singing.,neutral,Frasier
1031,of your subconscious,neutral,Frasier
1032,Look   when I saw Agides today  it was kind of a shock,neutral,Frasier
1033,Even once. Once in all the yearsyou lived together?,neutral,Frasier
1034,You even got that manto move his pigeons.,neutral,Frasier
1035,- Oh   now   come on...- If you want to pretend,neutral,Frasier
1036,- Hey   Niles.- Hello   my love.,neutral,Frasier
1037,I felt bad aboutfooling you,neutral,Frasier
1038,Come along  come along.,neutral,Frasier
1039,you're gonna needanother favour from me   buddy.,neutral,Frasier
1040,Maris   darling   I don't know about you  but I'm exhausted.,neutral,Frasier
1041,Now   I know cops.,neutral,Frasier
1042,Time to hang up the old uniformand live in my Speedos.,neutral,Frasier
1043,an intuition about men?,neutral,Frasier
1044,These purchaseshave nothing to do with sex.,sexist,Frasier
1045,You are simplythe most adorable creature,neutral,Frasier
1046,and you thought they were genuine.You seemed so happy   I...,neutral,Frasier
1047,- Alone?- Yes   I have to get ready.,neutral,Frasier
1048,Likewise.,neutral,Frasier
1049,Off we go.,neutral,Frasier
1050,Well   who knows?,neutral,Frasier
1051,No   no   no   no.,neutral,Frasier
1052,Frasier   Frasier  you will not believe this.,neutral,Frasier
1053,Well   la-di-da.,neutral,Frasier
1054,Well   we'll know in a minute.,neutral,Frasier
1055,If she dragged it out any longer  I'd be literally bankrupt.,neutral,Frasier
1056,- You wanna know what I would do?- Uh...,neutral,Frasier
1057,What do you say we make this,neutral,Frasier
1058,Dr. Crane burned his hand  and I was tending to it.,neutral,Frasier
1059,One more of these   please.,neutral,Frasier
1060,What?,neutral,Frasier
1061,For the sake of our parents.,neutral,Frasier
1062,- so do back me up.- I'm sorry   I can't.,neutral,Frasier
1063,I just found herright out in the hall.,neutral,Frasier
1064,I mean   what good is my money,neutral,Frasier
1065,I'm a disco ball.,neutral,Frasier
1066,- You've got to get me to a hospital.- Yes   of course.,neutral,Frasier
1067,And just how were you helpingthat poor confused bisexual woman,sexist,Frasier
1068,Our mugger specificallyinstructed us to wait for five minutes.,neutral,Frasier
1069,- Hi   Frasier. I'm on a date.- Hi   Roz.,neutral,Frasier
1070,Why do you have to make everythingso complicated?,neutral,Frasier
1071,I want my cut.,neutral,Frasier
1072,I'm speechless.,neutral,Frasier
1073,that my mind had to createa dream that defies interpretation,neutral,Frasier
1074,Are you sure?,neutral,Frasier
1075,Six hours,neutral,Frasier
1076,We're having a dinner party.,neutral,Frasier
1077,- Hey   Niles.- Mm-hm.,neutral,Frasier
1078,Now   now   now   I don't want you boysfighting over me.,neutral,Frasier
1079,- I believe he was Spanish.- Well   I believe I know the difference,neutral,Frasier
1080,No   I want to marry you now.,neutral,Frasier
1081,- Do you think anyone saw us sneak on?- I think we're all right.,neutral,Frasier
1082,It's been a rough week  it helps to have a friend.,neutral,Frasier
1083,The object is to take the stickand give it a little whack...,neutral,Frasier
1084,- Look   you let him in.- Right.,neutral,Frasier
1085,There's plenty of time.,neutral,Frasier
1086,I hope you're comfortablewith that arrangement,neutral,Frasier
1087,Bulldog's still got it!,neutral,Frasier
1088,Poor Niles.You know   Dad   maybe I should...,neutral,Frasier
1089,Son of a bitch!,sexist,Frasier
1090,that's what matters.,neutral,Frasier
1091,I'm guessing you entertain often.,neutral,Frasier
1092,That's true.,neutral,Frasier
1093,Eighty-two? I sure envy you.,neutral,Frasier
1094,Hey   Niles. Here.,neutral,Frasier
1095,Leave me out of this. I'm not sorry.,neutral,Frasier
1096,Mm-hmm.,neutral,Frasier
1097,Well   turn it right-side upand let's go eat.,neutral,Frasier
1098,although I'm not surehe'd be any different.,neutral,Frasier
1099,eat a cookie.,neutral,Frasier
1100,It's going to be a lot of fun.,neutral,Frasier
1101,- You're lost   aren't you?- Like a Bedouin in a sandstorm.,neutral,Frasier
1102,Old Man Crane   Old Man Crane,neutral,Frasier
1103,What kind of house were youbrought up in anyway for God's sake?,neutral,Frasier
1104,- Niles   what brings you by?- I'm hiding Maris' birthday gift.,neutral,Frasier
1105,I know.Niles!,neutral,Frasier
1106,What?,neutral,Frasier
1107,Almost as thoughyou'd been in there before   huh?,neutral,Frasier
1108,Well   shall...? Shall we begin?,neutral,Frasier
1109,She's pretty   smart  she has those perky breasts.,sexist,Frasier
1110,A genuine pleasure.,neutral,Frasier
1111,- Have a good night   you two.- Thank you.,neutral,Frasier
1112,- than they are about seein' me.- Why would you say that?,neutral,Frasier
1113,What?,neutral,Frasier
1114,It isn't easy finding someoneyou think the world of.,neutral,Frasier
1115,I bet I have something you can wear.I'll be right back.,neutral,Frasier
1116,Tomorrow   I am going to dropthis little bombshell,neutral,Frasier
1117,I can see whyyou like this show.,neutral,Frasier
1118,I spend every night with you. I havedone my best to keep you entertained,neutral,Frasier
1119,So   Niles...,neutral,Frasier
1120,Bunny?,neutral,Frasier
1121,Save your breath. It could come out of a box - Roz would have a glass of it!,neutral,Frasier
1122,But there's a charming bistro therethat serves the most...,neutral,Frasier
1123,- Dibs on the Frenchman.- You can have him.,neutral,Frasier
1124,from a man who was nearlya stain on the sidewalk?,neutral,Frasier
1125,Leave it!,neutral,Frasier
1126,I'm sorry   I've done that show before  I'm not doing it again.,neutral,Frasier
1127,It's me. Age nine.The year before I got them fixed.,neutral,Frasier
1128,She stores it up like some sexual camel.,sexist,Frasier
1129,This means the evening has just begun.,neutral,Frasier
1130,- Patty.- Patty.,neutral,Frasier
1131,Gosh   I do hope he hasn'tforgotten me completely.,neutral,Frasier
1132,but there was nothing availablefor him at the station.,neutral,Frasier
1133,Thank you.,neutral,Frasier
1134,By the kitchen?,neutral,Frasier
1135,No   no   no. I found something betterthan that.,neutral,Frasier
1136,I'll call you back later   Dorothy.,neutral,Frasier
1137,I'm not ready for you to leave.,neutral,Frasier
1138,Dear God   Niles  not a dating service.,neutral,Frasier
1139,I'm astonished at your lack of integrity.Now   will you take that damn thing off?,neutral,Frasier
1140,You have the cheese logs.,neutral,Frasier
1141,Because I can't stop thinkingthat far ahead.,neutral,Frasier
1142,Yes   of course we invited him  he's my brother.,neutral,Frasier
1143,But I'm doing thisfor all of us.,neutral,Frasier
1144,I'm ecstatic.,neutral,Frasier
1145,- Come in.- Thanks.,neutral,Frasier
1146,Thanks. That reminds me  I have to order me cards.,neutral,Frasier
1147,Fine. You have 24 hoursto get that intruder out of here,neutral,Frasier
1148,Yes.,neutral,Frasier
1149,Frasier.,neutral,Frasier
1150,I know how long  and this isn't the way to cheer me up.,neutral,Frasier
1151,in a very tender way,neutral,Frasier
1152,but I couldn't getAlice to sleep,neutral,Frasier
1153,to hide the third eyein the back of her head.,neutral,Frasier
1154,OK   consideringshe's decided to have the child herself.,neutral,Frasier
1155,Excuse me   but I'm a professional.I take pride in my work...,neutral,Frasier
1156,We'll see what transpires.They'll never even know it's a fix-up.,neutral,Frasier
1157,Sorry   Frederick.,neutral,Frasier
1158,Sorry   Roz   I alreadyinvited somebody else.,neutral,Frasier
1159,Roz   didn't your mother warn you thatsex could lead to things like dating?,sexist,Frasier
1160,Well   of course   we weren't gonnatell you.,neutral,Frasier
1161,- You sure you don't need a hand?- Just keep moving.,neutral,Frasier
1162,Ah...,neutral,Frasier
1163,Well   listen  thanks for dropping by,neutral,Frasier
1164,Get out of here. Go on.,neutral,Frasier
1165,- Now there is.- Frasier.,neutral,Frasier
1166,- Bye   Niles.- No   wait   Dad.,neutral,Frasier
1167,Well   I certainly hope his tailor can fixthe holes you just burnt in his jacket.,neutral,Frasier
1168,All right   I think it's timeto say goodbye to Dr Webber now.,neutral,Frasier
1169,You haven't even heard anything.,neutral,Frasier
1170,No   Dad   whereare your manners?,neutral,Frasier
1171,l can't believe it.,neutral,Frasier
1172,- Gee   that'll be fun for Freddie.- Frederick won't be joining me.,neutral,Frasier
1173,but to poison it like this?,neutral,Frasier
1174,How was the game?,neutral,Frasier
1175,You don't actually buyall this no-sex stuff of hers   do you?,sexist,Frasier
1176,Oh   no   not... No   not Eddie.,neutral,Frasier
1177,Oh   there's a call.I'll take it. I'll take it.,neutral,Frasier
1178,But   as with all transitional objects  be they a teddy bear,neutral,Frasier
1179,we don't really havea bed for you.,neutral,Frasier
1180,Last night at the game...,neutral,Frasier
1181,...let's not say goodbye  but rather tartare for now.,neutral,Frasier
1182,Not now   Niles. Please   excuse us.We need a moment alone.,neutral,Frasier
1183,Oh.,neutral,Frasier
1184,I know.,neutral,Frasier
1185,- May I get you a drink?- Yes   a white wine   please.,neutral,Frasier
1186,And if you don't mind,neutral,Frasier
1187,She's late. My show goes onin 30 seconds.,neutral,Frasier
1188,We worried about putting foodon the table,neutral,Frasier
1189,Now aren't youglad you went,neutral,Frasier
1190,I'm not sure that we'll be ableto give you a treat,neutral,Frasier
1191,You're a whore   Jenny.,sexist,Frasier
1192,I'm going to go let Eddie in.,neutral,Frasier
1193,is not a generational issue.,neutral,Frasier
1194,- Really?- Yeah.,neutral,Frasier
1195,Now   I gotta be in courtin about 20 minutes,neutral,Frasier
1196,I'll have to check the seating chart.,neutral,Frasier
1197,Oh   lovely,neutral,Frasier
1198,and I was just   uh  wondering if   um...,neutral,Frasier
1199,Niles   wrinkle your foreheadfor me   will you?,neutral,Frasier
1200,I appreciate your concern,neutral,Frasier
1201,- But that's not what I asked.- He believed dreams,neutral,Frasier
